         23704100 function calls (23682054 primitive calls) in 86.091 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      183    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
       73    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
     1710    0.002    0.000    0.003    0.000 UserDict.py:4(__init__)
      143    0.000    0.000    0.000    0.000 UserDict.py:91(get)
        1    0.000    0.000    0.000    0.000 UserList.py:1(<module>)
        1    0.000    0.000    0.000    0.000 UserList.py:5(UserList)
        1    0.001    0.001    0.003    0.003 _3d.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        4    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:7(get_info)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
      110    0.313    0.003    3.449    0.031 __init__.py:1(<module>)
        7    0.049    0.007    0.170    0.024 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ExtType)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ProjectionRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:10(pytest_addoption)
        1    0.002    0.002    0.027    0.027 __init__.py:100(<module>)
    23/15    0.000    0.000    0.001    0.000 __init__.py:1008(parse_one_cond)
        1    0.036    0.036    0.476    0.476 __init__.py:101(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:101(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1010(Manager)
       22    0.005    0.000    0.031    0.001 __init__.py:1010(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1015(__init__)
       17    0.000    0.000    0.000    0.000 __init__.py:102(_update_doc)
       26    0.000    0.000    0.001    0.000 __init__.py:1025(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(parse_for)
       18    0.000    0.000    0.000    0.000 __init__.py:105(__setitem__)
        1    0.018    0.018    0.181    0.181 __init__.py:106(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:1069(parse_default)
       22    0.000    0.000    0.000    0.000 __init__.py:1071(_fixupParents)
        1    0.010    0.010    0.039    0.039 __init__.py:108(<module>)
       22    0.000    0.000    0.036    0.002 __init__.py:1086(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:109(cpu_count)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(_fixupChildren)
        2    0.002    0.001    0.003    0.002 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(Logger)
       23    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:113(Namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:113(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:1136(ExtractionError)
        4    0.000    0.000    0.000    0.000 __init__.py:1139(setLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1152(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1156(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:116(ModuleDeprecationWarning)
        2    0.025    0.012    0.756    0.378 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1252(rc_context)
        1    0.005    0.005    0.013    0.013 __init__.py:127(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:128(VisibleDeprecationWarning)
        8    0.000    0.000    0.000    0.000 __init__.py:1298(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:131(Value)
        1    0.008    0.008    0.009    0.009 __init__.py:133(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1368(get_backend)
       41    0.000    0.000    0.001    0.000 __init__.py:137(signature)
      372    0.000    0.000    0.004    0.000 __init__.py:1373(safe_name)
      660    0.003    0.000    0.043    0.000 __init__.py:1381(safe_version)
       41    0.000    0.000    0.000    0.000 __init__.py:1382(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1387(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:139(_NoValue)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(__init__)
        2    0.003    0.001    0.049    0.024 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:14(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:14(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1439(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:144(EnumMeta)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        3    0.000    0.000    0.000    0.000 __init__.py:146(compare_versions)
      217    0.000    0.000    0.043    0.000 __init__.py:1462(has_metadata)
      125    0.000    0.000    0.045    0.000 __init__.py:1466(get_metadata)
      125    0.000    0.000    0.046    0.000 __init__.py:1476(get_metadata_lines)
        2    0.025    0.013    0.524    0.262 __init__.py:15(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:150(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1507(basicConfig)
      342    0.001    0.000    0.003    0.000 __init__.py:1528(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1543(EggProvider)
        1    0.004    0.004    0.013    0.013 __init__.py:155(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1550(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1564(DefaultProvider)
      215    0.000    0.000    0.038    0.000 __init__.py:1567(_has)
       28    0.000    0.000    0.001    0.000 __init__.py:1567(getLogger)
       15    0.000    0.000    0.000    0.000 __init__.py:157(iteritems)
       39    0.000    0.000    0.000    0.000 __init__.py:1572(unpack_labeled_data)
      125    0.002    0.000    0.044    0.000 __init__.py:1579(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1583(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1592(EmptyProvider)
        1    0.001    0.001    0.001    0.001 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1600(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1606(ZipManifests)
       39    0.001    0.000    0.003    0.000 __init__.py:1610(param)
        1    0.000    0.000    0.003    0.003 __init__.py:1611(build)
      123    0.000    0.000    0.000    0.000 __init__.py:1622(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:1633(MemoizedZipManifests)
        2    0.000    0.000    0.003    0.002 __init__.py:1639(load)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1653(ContextualZipFile)
        2    0.000    0.000    0.000    0.000 __init__.py:166(<genexpr>)
        1    0.000    0.000    0.003    0.003 __init__.py:1664(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(ZipProvider)
        1    0.020    0.020    0.071    0.071 __init__.py:168(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1683(_zipinfo_name)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        1    0.003    0.003    0.003    0.003 __init__.py:17(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:17(register)
        2    0.000    0.000    0.003    0.002 __init__.py:1702(zipinfo)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
        4    0.000    0.000    0.005    0.001 __init__.py:1733(inner)
       38    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
      415    0.000    0.000    0.001    0.000 __init__.py:179(bind_method)
        2    0.007    0.004    0.017    0.009 __init__.py:18(<module>)
        1    0.000    0.000    0.099    0.099 __init__.py:18(pylab_setup)
        2    0.000    0.000    0.003    0.002 __init__.py:1822(_has)
        1    0.003    0.003    0.005    0.005 __init__.py:183(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1841(FileMetadata)
      170    0.000    0.000    0.000    0.000 __init__.py:1853(__init__)
      235    0.000    0.000    0.003    0.000 __init__.py:1856(has_metadata)
      170    0.003    0.000    0.076    0.000 __init__.py:1859(get_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:186(c_int)
      170    0.001    0.000    0.077    0.000 __init__.py:1872(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1876(PathMetadata)
      200    0.000    0.000    0.000    0.000 __init__.py:1896(__init__)
        2    0.004    0.002    0.008    0.004 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:190(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1901(EggMetadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1904(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1917(register_finder)
        1    0.001    0.001    0.001    0.001 __init__.py:192(Semaphore)
       36    0.000    0.000    0.001    0.000 __init__.py:1927(find_distributions)
        4    0.000    0.000    0.003    0.001 __init__.py:1933(find_eggs_in_zip)
        1    0.000    0.000    0.000    0.000 __init__.py:194(SetuptoolsVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:194(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        4    0.000    0.000    0.000    0.000 __init__.py:1955(find_nothing)
      400    0.006    0.000    0.343    0.001 __init__.py:1959(find_on_path)
        1    0.000    0.000    0.000    0.000 __init__.py:198(SetuptoolsLegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
       27    0.134    0.005    0.893    0.033 __init__.py:2(<module>)
        3    0.018    0.006    0.109    0.036 __init__.py:20(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:2008(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
       19    0.000    0.000    0.002    0.000 __init__.py:2025(_handle_ns)
        1    0.012    0.012    0.036    0.036 __init__.py:205(<module>)
       45    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        1    0.000    0.000    0.002    0.002 __init__.py:2070(declare_namespace)
        1    0.003    0.003    0.189    0.189 __init__.py:21(<module>)
      158    0.000    0.000    0.000    0.000 __init__.py:2102(fixup_namespace_packages)
        1    0.000    0.000    0.000    0.000 __init__.py:2113(file_ns_handler)
